Title, Artist, Album, Length
Night Time (Greg Wilson Remix), The xx, VCR, 8 min 33 sec
Sunset (Jamie xx Edit), The xx, Jamie xx Edits - Single, 6 min 17 sec
Reconsider (Jamie xx Edit), The xx, Jamie xx Edits - Single, 5 min 31 sec
Together, The xx, The Great Gatsby (Music from Baz Luhrmann's Film) [Deluxe Edition], 5 min 25 sec
Together, The xx, The Great Gatsby (Music From Baz Luhrmann's Film), 5 min 25 sec
Together, The xx, Fiction - EP, 5 min 25 sec
Together, The xx, The Great Gatsby (Music From Baz Luhrmann's Film), 5 min 25 sec
Infinity, The xx, xx (Bonus Track Version), 5 min 13 sec
Swept Away, The xx, Coexist, 4 min 59 sec
Crystalised (Dark Sky Remix), The xx, Majestic Casual - Chapter I, 4 min 57 sec
VCR (Matthew Dear Remix), The xx, VCR, 4 min 52 sec
Shelter, The xx, xx (Bonus Track Version), 4 min 30 sec
Night Time, The xx, iTunes Live from SoHo - EP, 4 min 27 sec
Stars, The xx, xx (Bonus Track Version), 4 min 22 sec
Shelter, The xx, iTunes Live from SoHo - EP, 4 min 14 sec
Brave for You, The xx, I See You, 4 min 13 sec
Dangerous, The xx, I See You, 4 min 10 sec
Replica, The xx, I See You, 4 min 9 sec
Performance, The xx, I See You, 4 min 6 sec
Heart Skipped a Beat, The xx, xx (Bonus Track Version), 4 min 2 sec
Say Something Loving, The xx, I See You, 3 min 58 sec
Reunion, The xx, Coexist, 3 min 57 sec
Test Me, The xx, I See You, 3 min 55 sec
I Dare You, The xx, I See You, 3 min 53 sec
Teardrops, The xx, Crystalised - Single, 3 min 51 sec
A Violent Noise, The xx, I See You, 3 min 47 sec
On Hold, The xx, I See You, 3 min 44 sec
Sunset, The xx, Coexist, 3 min 38 sec
Do You Mind?, The xx, Islands - EP, 3 min 37 sec
Night Time, The xx, xx (Bonus Track Version), 3 min 36 sec
Missing, The xx, Coexist, 3 min 33 sec
Hot Like Fire, The xx, xx (Bonus Track Version), 3 min 31 sec
Crystalised, The xx, Crystalised - Single, 3 min 21 sec
Crystalised, The xx, xx (Bonus Track Version), 3 min 21 sec
Lips, The xx, I See You, 3 min 20 sec
Try, The xx, Coexist, 3 min 15 sec
Our Song, The xx, Coexist, 3 min 13 sec
Basic Space, The xx, xx (Bonus Track Version), 3 min 8 sec
Unfold, The xx, Coexist, 3 min 2 sec
Tides, The xx, Coexist, 3 min 1 sec
VCR, The xx, xx (Bonus Track Version), 2 min 57 sec
Angels, The xx, Coexist, 2 min 51 sec
Angels, The xx, Angels - Single, 2 min 51 sec
Intro, The xx, iTunes Live from SoHo - EP, 2 min 50 sec
Chained, The xx, Coexist, 2 min 47 sec
Islands, The xx, iTunes Live from SoHo - EP, 2 min 47 sec
Islands, The xx, xx (Bonus Track Version), 2 min 40 sec
Fantasy, The xx, xx (Bonus Track Version), 2 min 38 sec
Fantasy, The xx, iTunes Live from SoHo - EP, 2 min 26 sec
Intro, The xx, xx (Bonus Track Version), 2 min 7 sec
